max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,Year_of_Release,artist,category,designer,expansion,publisher,average_rating,users_rated,principal_category,secondary_category,other_category,WeightedAverage
6,30,8,2,15,Loot N Run,30,2016,unknown,"Adventure,Ancient,Bluffing,Exploration,Party Game",Christian Lemay,yes,"Asmodee,IELLO,Le Scorpion Masqué",6.72194,222,Adventure,Ancient,"Bluffing,Exploration,Party Game",6.481247045322748
2,30,0,2,10,Exceed: Red Horizon – Eva & Kaden vs. Miska & Lily,30,2016,unknown,"Card Game,Fighting","D. Brad Talton, Jr.",no,Level 99 Games,8.33712,66,Card Game,Fighting,,6.603250188556579
2,30,0,2,10,Exceed: Red Horizon – Satoshi & Mei Lien vs. Baelkhor & Morathi,30,2016,unknown,"Card Game,Fighting","D. Brad Talton, Jr.",no,Level 99 Games,8.49554,56,Card Game,Fighting,,6.58802145094069
2,30,0,2,10,Exceed: Red Horizon – Gabrek & Ulrik vs. Alice & Zoey,30,2016,unknown,"Card Game,Fighting","D. Brad Talton, Jr.",no,Level 99 Games,8.26525,59,Card Game,Fighting,,6.573952480720973
4,120,13,2,60,Islebound,120,2016,Ryan Laukat,Nautical,Ryan Laukat,yes,Red Raven Games,7.44991,1147,Nautical,,,7.123397970080768
5,30,7,1,15,Beasts of Balance,30,2016,"Tim Burrell-Saward,Lyall McCarthy,Chris Shaw","Action / Dexterity,Animals,Collectible Components,Electronic,Party Game","George Buckenham,Alex Fleetwood",yes,Sensible Object,7.6892,88,Action / Dexterity,Animals,"Collectible Components,Electronic,Party Game",6.571155249528951
5,0,7,2,30,Metropolia,0,2014,"Noboru Hotta,Mirko Suzuki","Card Game,City Building,Dice",Masao Suganuma,no,Foxgames (Poland),7.02121,66,Card Game,City Building,Dice,6.4498048528675325
2,90,0,1,30,Stawka większa niż życie,90,2015,Marek Szyszko,"Movies / TV / Radio theme,Spies/Secret Agents,World War II","Maja Mirska,Robert Sypek",no,Inte-gra,8.265,60,Movies / TV / Radio theme,Spies/Secret Agents,World War II,6.576945869148257
3,1,6,3,1,Win/Lose Revolution,1,2015,Stephanie Gustafsson,"Bluffing,Card Game,Deduction,Science Fiction,Spies/Secret Agents",unknown,no,Indie Boards & Cards,5.54808,52,Bluffing,Card Game,"Deduction,Science Fiction,Spies/Secret Agents",6.296539577396782
4,45,8,2,15,Minecraft Card Game?,45,2015,unknown,"Card Game,Children's Game,Video Game Theme",unknown,no,Mattel,5.94455,368,Card Game,Children's Game,Video Game Theme,6.192147565349106
